,Year,Household Income,Household Income MOE,Geography,ID Geography,Census Tract
0,2017,60455,14662.000000000002,"Census Tract 1108, Alachua County, FL",14000US12001110800,12001110800
1,2017,26027,3357.0,"Census Tract 15.17, Alachua County, FL",14000US12001001517,12001001517
2,2017,16686,4727.0,"Census Tract 2, Alachua County, FL",14000US12001000200,12001000200
3,2017,20896,3594.0,"Census Tract 15.19, Alachua County, FL",14000US12001001519,12001001519
4,2017,16487,6947.0,"Census Tract 15.16, Alachua County, FL",14000US12001001516,12001001516
5,2017,31702,4101.0,"Census Tract 3.01, Alachua County, FL",14000US12001000301,12001000301
6,2017,42765,8370.0,"Census Tract 22.20, Alachua County, FL",14000US12001002220,12001002220
7,2017,17102,3021.0,"Census Tract 15.15, Alachua County, FL",14000US12001001515,12001001515
8,2017,16792,7601.0,"Census Tract 15.20, Alachua County, FL",14000US12001001520,12001001520
9,2017,27175,4794.0,"Census Tract 3.02, Alachua County, FL",14000US12001000302,12001000302
10,2017,40421,5837.0,"Census Tract 22.19, Alachua County, FL",14000US12001002219,12001002219
11,2017,23523,4453.0,"Census Tract 15.14, Alachua County, FL",14000US12001001514,12001001514
12,2017,31875,8849.0,"Census Tract 4, Alachua County, FL",14000US12001000400,12001000400
13,2017,24236,4171.0,"Census Tract 15.21, Alachua County, FL",14000US12001001521,12001001521
14,2017,47571,12895.0,"Census Tract 14, Alachua County, FL",14000US12001001400,12001001400
15,2017,34320,10898.0,"Census Tract 5, Alachua County, FL",14000US12001000500,12001000500
16,2017,29688,9649.0,"Census Tract 22.18, Alachua County, FL",14000US12001002218,12001002218
17,2017,31480,8048.0,"Census Tract 16.03, Alachua County, FL",14000US12001001603,12001001603
18,2017,40292,14761.0,"Census Tract 12.03, Alachua County, FL",14000US12001001203,12001001203
19,2017,28094,5303.0,"Census Tract 6, Alachua County, FL",14000US12001000600,12001000600
20,2017,31545,7064.0,"Census Tract 22.17, Alachua County, FL",14000US12001002217,12001002217
21,2017,56657,7611.0,"Census Tract 12.02, Alachua County, FL",14000US12001001202,12001001202
22,2017,32500,10098.0,"Census Tract 7, Alachua County, FL",14000US12001000700,12001000700
23,2017,32515,8964.0,"Census Tract 16.04, Alachua County, FL",14000US12001001604,12001001604
24,2017,70884,10781.0,"Census Tract 12.01, Alachua County, FL",14000US12001001201,12001001201
25,2017,18952,5952.0,"Census Tract 8.06, Alachua County, FL",14000US12001000806,12001000806
26,2017,81842,10790.0,"Census Tract 22.04, Alachua County, FL",14000US12001002204,12001002204
27,2017,42389,16287.999999999998,"Census Tract 17.01, Alachua County, FL",14000US12001001701,12001001701
